tm_inchikey	mean_similarity	std_similarity	triangular_simmx_size	route_type
LQNNJVRJHRFWIK-UHFFFAOYSA-N	0.7023146480399826	0.1371595360456458	45	predicted
LTOAWFRZXVPHAJ-UHFFFAOYSA-N	0.5357328385612395	0.10165944051779217	45	predicted
LYPSYIWSZQVHAB-UHFFFAOYSA-N	0.4486988933543747	0.43620426522600053	45	predicted
MCKPYEQRZUCJKI-SFHVURJKSA-N	0.7899356901936462	0.07559778118567824	45	predicted
MGGGSJRWNQFCLE-UHFFFAOYSA-N	0.4686331465509579	0.5038318837627093	21	predicted
MGPKTKXUWSVAMY-UHFFFAOYSA-N	0.672094057596792	0.11254849386767363	45	predicted
MVZQNMZKBOUDCI-UHFFFAOYSA-N	0.41344474220526917	0.2908001652540663	45	predicted
MWXPGVONCSFURJ-UHFFFAOYSA-N	0.3333333333333333	0.5773502691896258	3	predicted
NHVUPUQLKWAQMU-UHFFFAOYSA-N	0.8456714470692606	0.12002764471573556	45	predicted
NKQYHZABKBYUMX-UHFFFAOYSA-N	0.4492838878533023	0.3186320389549372	45	predicted
NTOVJWIULULGGI-GFCCVEGCSA-N	0.6176710741706153	0.14279085222962531	45	predicted
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	0.1424989537643219	0.2952635149603861	45	predicted
OEBVYNULNKSONR-UHFFFAOYSA-N	0.7187361588028133	0.2597295644003075	45	predicted
OEUYHQOSMXZHIV-UHFFFAOYSA-N	0.6200876754505872	0.13844216257927017	45	predicted
OHWDZAOJWZFPOI-UHFFFAOYSA-N	1.0	0.0	45	predicted
OJUKGYKYSNNNSA-UHFFFAOYSA-N	0.8355579895258634	0.15555956606098145	45	predicted
OMISHRJQMYQPMG-UHFFFAOYSA-N	0.8517434618852613	0.16173038022814418	45	predicted
ONGPJYSSZQHFBU-UHFFFAOYSA-N	0.6997624028913181	0.13280907637704878	15	predicted
OVHHLJFHCUVHRI-UHFFFAOYSA-N	0.7806194547363635	0.10813855903285145	3	predicted
OYGAAIIWGPRZSJ-UHFFFAOYSA-N	0.6534303072634534	0.20672868869961575	45	predicted
PGNLXEBQMQHFNK-SJORKVTESA-N	0.7017223097402167	0.13618677977864813	45	predicted
PGSOTMWBSCIDRF-UHFFFAOYSA-N	0.7714946455236118	0.1293753712237096	45	predicted
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	0.835427834930618	0.089226800604478	45	predicted
POSWICCRDBKBMH-UHFFFAOYSA-N	1.0	0.0	45	predicted
QEFKKIMKJOBAES-UHFFFAOYSA-N	0.7953222902147677	0.18004435594677468	45	predicted
QHQSWYIJDFMBNE-UHFFFAOYSA-N	0.3333333333333333	0.5773502691896258	3	predicted
QIXXLCJOJGHZJB-UHFFFAOYSA-N	0.10680793941726438	0.2578559529876092	45	predicted
QNOPDDHSGQQLCV-UHFFFAOYSA-N	0.6718263179377003	0.18465449033822962	45	predicted
QOUVTYNQXMDDHV-UHFFFAOYSA-N	0.657717436130328	0.13299275847711137	45	predicted
QYNSTSVJRRGHLN-PPNCUWOSSA-N	0.7900996607105785	0.12177012053363968	45	predicted
RKYXTELYNYVQNB-UHFFFAOYSA-N	0.5673464798930625	0.16060122507544983	45	predicted
SDOBRKOODSJDMC-UHFFFAOYSA-N	0.6748916266926154	0.14413920371153374	45	predicted
SJVFAHZPLIXNDH-QFIPXVFZSA-N	0.5801601254068295	0.3362084776003884	45	predicted
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	0.28888888888888886	0.45836776730155243	45	predicted
UKBQFBRPXKGJPY-INIZCTEOSA-N	0.7896934044184036	0.1299700943990604	45	predicted
UTRFILHTKFEHEN-UHFFFAOYSA-N	0.5705127970232089	0.23945417000395833	45	predicted
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	0.3112410217463388	0.3526493703196378	45	predicted
UZTLCTQPITZMOT-UHFFFAOYSA-N	0.3901736148632423	0.0	1	predicted
VEJPLARLFWIYNM-UHFFFAOYSA-N	0.2993907786027409	0.40760336881759784	45	predicted
VLYBAPCPKDLKOF-UHFFFAOYSA-N	0.3634387713270806	0.343080847533931	45	predicted
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	0.6631086409249581	0.13296603383834696	21	predicted
VTJXLVGZNOINAD-UHFFFAOYSA-N	0.44825523078497315	0.4259488382457018	45	predicted
WEEVXEKXCIBZMB-UHFFFAOYSA-N	0.4	0.49543369430686235	45	predicted
WKMACJQHHVRNIY-UHFFFAOYSA-N	0.39411494772986294	0.3063600347666498	45	predicted
WNSQJVPADMGXTG-URLMMPGGSA-N	0.6543395604077642	0.11638181709202917	36	predicted
WTCXKDSZUHYCLH-UHFFFAOYSA-N	0.5542321022575708	0.13062733696114157	45	predicted
WUFUURSWOJROKY-UHFFFAOYSA-N	0.3433259361480941	0.43577852409018214	45	predicted
XSQUJFKRXZMOKA-PAFIKIDNSA-N	0.2661363604499067	0.3131443797345896	45	predicted
YCKSXEPJXNDHEB-UHFFFAOYSA-N	0.8264502086099479	0.10525792240576755	45	predicted
YKAKSKHYOAHFDB-UHFFFAOYSA-N	0.696934430710997	0.10178854238666828	45	predicted
YTINZZFBHWSAGL-NDEPHWFRSA-N	0.7790056032768959	0.12786971825205573	45	predicted
ZQXOMIPSVVBRGV-UHFFFAOYSA-N	0.7617965953923704	0.020127304522954668	45	predicted
ZTXVRZLOVRFPEC-UHFFFAOYSA-N	0.6439529925819137	0.150778836820821	45	predicted
ZVERWTXKKWSSHH-UHFFFAOYSA-N	0.2506050261077415	0.3466165907235997	45	predicted
